# Gboard Dictionary version:2
# Gboard Dictionary format:shortcut	word	language_tag	pos_tag
vcf	và		
và	vcf		
ccu	của		
của	ccu		
c4S	có		
c4s	có		
có	c4S		
cds	các		
các	cds		
lcf	là		
là	lcf		
dWy	được		
dwy	được		
được	dWy		
Rz6	trong		
rz6	trong		
trong	Rz6		
C4Z	cho		
c4z	cho		
cho	C4Z		
KtZ	không		
ktz	không		
không	KtZ		
Npi	người		
npi	người		
người	Npi		
vxS	với		
vxs	với		
với	vxS		
mRJ	một		
mrj	một		
một	mRJ		
dcx	đã		
đã	dcx		
ctZ	công		
ctz	công		
công	ctZ		
dUr	để		
dur	để		
để	dUr		
ynx	những		
những	ynx		
Kiz	khi		
kiz	khi		
khi	Kiz		
drs	đến		
đến	drs		
vUf	về		
vuf	về		
về	vUf		
nTf	này		
ntf	này		
này	nTf		
tG5	tại		
tg5	tại		
tại	tG5		
zSr	ở		
zsr	ở		
ở	zSr		
cvw	cũng		
cũng	cvw		
tq6	tôi		
tôi	tq6		
rcz	ra		
ra	rcz		
n0z	năm		
năm	n0z		
yhF	nhiều		
yhf	nhiều		
nhiều	yhF		
tSI	từ		
tsi	từ		
từ	tSI		
vcJ	việc		
vcj	việc		
việc	vcJ		
dtF	đồng		
dtf	đồng		
đồng	dtF		
ycf	nhà		
nhà	ycf		
ljf	làm		
làm	ljf		
d4S	đó		
d4s	đó		
đó	d4S		
hdJ	hiện		
hdj	hiện		
hiện	hdJ		
ztZ	ông		
ztz	ông		
ông	ztZ		
vpf	vào		
vào	vpf		
hnJ	học		
hnj	học		
học	hnJ		
bij	bị		
bị	bij		
Rr0	trên		
rr0	trên		
trên	Rr0		
TU3	thể		
tu3	thể		
thể	TU3		
TJ0	theo		
tj0	theo		
theo	TJ0		
Rs2	trường		
rs2	trường		
trường	Rs2		
ySa	như		
ysa	như		
như	ySa		
NTf	ngày		
ntf	ngày		
ngày	NTf		
zWz	anh		
zwz	anh		
anh	zWz		
dAf	đầu		
daf	đầu		
đầu	dAf		
nWe	nước		
nwe	nước		
nước	nWe		
fG3	phải		
fg3	phải		
phải	fG3		
TW2	thành		
tw2	thành		
thành	TW2		
dmJ	định		
dmj	định		
định	dmJ		
bpJ	bộ		
bpj	bộ		
bộ	bpJ		
y7z	nhân		
nhân	y7z		
sEx	sẽ		
sex	sẽ		
sẽ	sEx		
jcz	gia		
gia	jcz		
qk0	quan		
quan	qk0		
sSy	sự		
ssy	sự		
sự	sSy		
njz	nam		
nam	njz		
lGj	lại		
lgj	lại		
lại	lGj		
Cir	chỉ		
cir	chỉ		
chỉ	Cir		
spS	số		
sps	số		
số	spS		
hKf	hàng		
hkf	hàng		
hàng	hKf		
cSZ	con		
csz	con		
con	cSZ		
smZ	sinh		
smz	sinh		
sinh	smZ		
dtJ	động		
dtj	động		
động	dtJ		
stz	sau		
sau	stz		
dhF	điều		
dhf	điều		
điều	dhF		
CmS	chính		
cms	chính		
chính	CmS		
D7z	dân		
d7z	dân		
dân	D7z		
cSz	cơ		
csz	cơ		
cơ	cSz		
ynz	nhưng		
nhưng	ynz		
vjJ	việt		
vjj	việt		
việt	vjJ		
diz	đi		
đi	diz		
qf7	quốc		
quốc	qf7		
Ti2	thì		
ti2	thì		
thì	Ti2		
cSF	còn		
csf	còn		
còn	cSF		
bjS	biết		
bjs	biết		
biết	bjS		
hqJ	hội		
hqj	hội		
hội	hqJ		
h1Z	hơn		
h1z	hơn		
hơn	h1Z		
Tx8	thời		
tx8	thời		
thời	Tx8		
Tt6	thông		
tt6	thông		
thông	Tt6		
zkz	an		
an	zkz		
RvA	trung		
rva	trung		
trung	RvA		
vvj	vụ		
vụ	vvj		
jcs	giá		
giá	jcs		
vdZ	viên		
vdz	viên		
viên	vdZ		
TN5	thực		
tn5	thực		
thực	TN5		
lxe	lý		
lý	lxe		
fq1	phát		
phát	fq1		
nrz	nên		
nên	nrz		
y7j	nhận		
nhận	y7j		
hWf	hành		
hwf	hành		
hành	hWf		
y9s	nhất		
nhất	y9s		
Cvr	chủ		
cvr	chủ		
chủ	Cvr		
h2J	hợp		
h2j	hợp		
hợp	h2J		
r9s	rất		
rất	r9s		
mmF	mình		
mmf	mình		
mình	mmF		
dKz	đang		
dkz	đang		
đang	dKz		
qc0	qua		
qua	qc0		
xE0	xe		
xe0	xe		
xe	xE0		
v1z	văn		
văn	v1z		
RWE	trước		
rwe	trước		
trước	RWE		
D4Z	do		
d4z	do		
do	D4Z		
cpz	cao		
cao	cpz		
mxS	mới		
mxs	mới		
mới	mxS		
Rm8	trình		
rm8	trình		
trình	Rm8		
cvi	cùng		
cùng	cvi		
mcf	mà		
mà	mcf		
dGj	đại		
dgj	đại		
đại	dGj		
vif	vì		
vì	vif		
bkj	bạn		
bạn	bkj		
TU1	thế		
tu1	thế		
thế	TU1		
Ti5	thị		
ti5	thị		
thị	Ti5		
skr	sản		
sản	skr		
zHz	em		
zhz	em		
em	zHz		
dBz	đây		
dbz	đây		
đây	dBz		
tU1	tế		
tu1	tế		
tế	tU1		
dsf	đường		
đường	dsf		
ccr	cả		
cả	ccr		
dqS	đối		
dqs	đối		
đối	dqS		
bYj	bệnh		
byj	bệnh		
bệnh	bYj		
hGz	hai		
hgz	hai		
hai	hGz		
zks	án		
án	zks		
nlS	nói		
nls	nói		
nói	nlS		
Ti0	thi		
ti0	thi		
thi	Ti0		
tG7	tiếp		
tg7	tiếp		
tiếp	tG7		
CNs	chức		
cns	chức		
chức	CNs		
tSA	tư		
tsa	tư		
tư	tSA		
hmF	hình		
hmf	hình		
hình	hmF		
WGJ	nghiệp		
wgj	nghiệp		
nghiệp	WGJ		
nqJ	nội		
nqj	nội		
nội	nqJ		
tm8	tình		
tình	tm8		
hcf	hà		
hà	hcf		
Nlw	nguyễn		
nlw	nguyễn		
nguyễn	Nlw		
td8	tiền		
tiền	td8		
DSy	dự		
dsy	dự		
dự	DSy		
lsj	lượng		
lượng	lsj		
lrz	lên		
lên	lrz		
tK6	tin		
tk6	tin		
tin	tK6		
dlr	điểm		
điểm	dlr		
bmF	bình		
bmf	bình		
bình	bmF		
cys	cấp		
cấp	cys		
bps	báo		
báo	bps		
kmZ	kinh		
kmz	kinh		
kinh	kmZ		
dUf	đề		
duf	đề		
đề	dUf		
td1	tác		
tác	td1		
Dvy	dụng		
dvy	dụng		
dụng	Dvy		
bpr	bảo		
bảo	bpr		
xc4	xã		
xã	xc4		
tD0	tâm		
td0	tâm		
tâm	tD0		
xdE	xuất		
xde	xuất		
xuất	xdE		
tm9	tỉnh		
tỉnh	tm9		
cpZ	cô		
cpz	cô		
cô	cpZ		
nTz	nay		
ntz	nay		
nay	nTz		
TW0	thanh		
tw0	thanh		
thanh	TW0		
bcf	bà		
bà	bcf		
tG2	tài		
tg2	tài		
tài	tG2		
