# Gboard Dictionary version:2
# Gboard Dictionary format:shortcut	word	language_tag	pos_tag
av	01 [A/a] Người BA hát khúc tình CA trước mái NHÀ, tiếng sóng vỗ oam OẠP giữa căn phòng TUỀNH toàng không chút HUÊNH hoang!		
b	02 [B/b] Bắt con BƯỚM đẹp đem KHOE, TUY vậy đến ĐÂY may mà THOÁT nạn lúc đêm KHUYA!		
c	03 [C/c] Tổng KẾT công VIỆC đi MUA sắm, tích lũy thành TÍCH tặng nhánh HOA tươi nếu thực lòng MUỐN!		
d	04 [D/d] Thời CƠ nàng TIÊN giáng XUẤT, dốc hết con TÂM nướng đĩa THỊT thơm rồi châm điếu THUỐC!		
e	05 [E/e] Lên chiếc XE cùng MẸ bế em BÉ, niềm say MÊ ngoắt NGOÁY đuôi rồi tinh nghịch HUÝCH vai!		
f	06 [F/f] Hiến PHÁP của đất QUỐC gia giữ xanh mảnh VƯỜN, ký tấm ngân SÉC đi đường ngoằn NGOÈO đón xe BUYN!		
g	07 [G/g] Cầm viên GẠCH đứng NGHIÊNG người hối GIỤC, bắt gặp em GÁI vừa chơi xong một HIỆP ở căn nhà THUÊ!		
h	08 [H/h] Trao nụ HÔN thật NHIỀU đón ngày XUÂN, chăm chỉ luyện TẬP hưởng vị NGỌT ngào đầy hợp LÝ!		
iv	09 [I/i] Thôi xách ba lô lên và ĐI! (Tiền tố: I hoa đầu, O hoa hết)		
j	10 [J/j] Chăm chỉ LÀM việc người VIỆT luôn rạng rỡ VUI tươi, chia nhau thanh KẸO cười toét LOÉT đón chuyến xe BUÝT!		
k	11 [K/k] Người BẠN khó CHỊU trùm mền kín mít, mấy THÁNG trời ngóng TIN mời đi ăn bát BÚN!		
l	12 [L/l] Từng luận ĐIỂM được NÓI giữ NGUYÊN giá trị, chớ để lẫn LỘN băn KHOĂN những chuyện NHƯN nhượng!		
m	13 [M/m] Hơi HÚT chân CHÍNH thời trai TUỔI trẻ, khoác áo ĐẸP móc xe kéo MOÓC va vào cùi KHUỶU tay!		
n	14 [N/n] Khó khăn NHƯNG chăm HỌC sẽ được GIÚP, biến ước mơ thành hiện THỰC đóng GÓP hương thơm cho đời NGỬI!		
o	15 [O/o] Vệt mực ĐEN tặng CHO em cả TUÝP màu, cùng nhau bước ĐI cầm bút CHÌ mỗi KHI vẽ tranh! (vần 'o' TV mã 4)		
p	16 [P/p] Xem tờ BÁO ăn bữa CƠM cùng mọi NGƯỜI, từng đường NÉT trên chiếc XOONG bóng loáng như thẻ QUYN bài!		
q	17 [Q/q] Vừa bộc PHÁT lời TÔI bị kẻ gian CƯỚP lời, xem bộ PHIM cùng cả NHÓM thật là TUYỆT vời!		
r	18 [R/r] Tiếng RÊN vọng ra NGOÀI rồi lắng XUỐNG, làm MỘT việc TỐT để kịp thời CỨU nguy nan!		
s	19 [S/s] Trên con ĐƯỜNG an TOÀN đi SUỐT đêm, CÁC bạn nhỏ dẫn CON ngắm hoa QUỲNH nở!		
t	20 [T/t] Đứng phía SAU lập chiến CÔNG vượt VƯỢT mọi thử thách, qua bao NGÀY mở chiếc HỘP quà chấm DỨT chuỗi ngày chờ!		
u	21 [U/u] Gió mùa THU lời ru RU êm đềm võng ĐU đưa, tấm gương được NÊU trong dấu NGOẶC sáng trong NHƯ ngọc!		
v	22 [V/v] Cùng san CHIA cho KỊP tới VÙNG quê, bắt con ẾCH dưới hố sâu hoắm rồi hái chùm QUÝT!		
w	23 [W/w] Gõ chữ QU tốc ký liền tay, lập chiến công THÀNH công vang dội sáng HOẰNG soi dòng sông NƯỚC!		
x	24 [X/x] Từ miền BẮC vào chung sống VỚI nhau đừng ngập NGỪM, suốt ĐÊM thoăn THOẮT dạy chim YỂNG hót!		
y	25 [Y/y] Nhận mệnh LỆNH chạy máy GIÊ thóc tại vùng ĐẮK Lắk, gửi EM nụ cười hoem OEM cùng người HUYNH đài!		
z	26 [Z/z] Mới HÔM nào ở TRONG nhà mà CHƯA nấu nướng, nay đỏ lửa góc BẾP cầm chiếc XẺNG xúc đống than QUN!		
0	27 [Số 0] Trải qua bao NĂM tháng CÔ gái mặc áo YẾM, chăm lo việc ĂN uống sống HƠN người trong bình YÊN! (Nhánh 0)		
1	28 [Số 1] Trải qua bao NĂM tháng CÔ gái mặc áo YẾM, chăm lo việc ĂN uống sống HƠN người trong bình YÊN! (Nhánh 1)		
2	29 [Số 2] Năng suất gia TĂNG kết HỢP lòng kiên QUYẾT, lúc hội GẶP hãy BỚT lo âu để trọn vẹn tình YÊU! (Nhánh 2)		
3	30 [Số 3] Năng suất gia TĂNG kết HỢP lòng kiên QUYẾT, lúc hội GẶP hãy BỚT lo âu để trọn vẹn tình YÊU! (Nhánh 3)		
4	31 [Số 4] Nước mắt ướt MẶT làm HOEN chén ly RƯỢU, bước qua chiếc CẦU vai KHOÁC túi giong cánh BUỒM ra khơi! (Nhánh 4)		
5	32 [Số 5] Nước mắt ướt MẶT làm HOEN chén ly RƯỢU, bước qua chiếc CẦU vai KHOÁC túi giong cánh BUỒM ra khơi! (Nhánh 5)		
6	33 [Số 6] Tỉnh cơn mê GIẤC hoàn thành kế HOẠCH nhớ THUỞ xưa, bao lớp tiền NHÂN há miệng NGOẠM mồi lòng bâng KHUÂNG! (Nhánh 6)		
7	34 [Số 7] Tỉnh cơn mê GIẤC hoàn thành kế HOẠCH nhớ THUỞ xưa, bao lớp tiền NHÂN há miệng NGOẠM mồi lòng bâng KHUÂNG! (Nhánh 7)		
8	35 [Số 8] Lên trên các TẦNG đo KHOẢNG cách tay KHUẤY trà, trên mảnh ĐẤT kinh DOANH ngày càng KHUẾCH trương phát đạt! (Nhánh 8)		
9	36 [Số 9] Lên trên các TẦNG đo KHOẢNG cách tay KHUẤY trà, trên mảnh ĐẤT kinh DOANH ngày càng KHUẾCH trương phát đạt! (Nhánh 9)		
